,Empathy-RAG
BLEU-1,0.014377416615852203
BLEU-2,0.005786265944086845
BLEU-4,0.0007632526271564033
ROUGE-1,0.03507955386517711
ROUGE-2,0.00819855503092972
ROUGE-L,0.027904021560316062
Reference Length (tokens),8.29
Prediction Length (tokens),325.46
Reference Length (chars),43.96
Prediction Length (chars),2027.67
Contextual Relevance,0.6545244809985161
Semantic Similarity,0.6545244809985161
Distinct-1,0.6661610507642428
Distinct-2,0.9625619182790238
Response Time (s),23.892674832344056
