Metrics,RAG,Vanilla,Hybrid,RetrievalOnly
BLEU-1,0.020025865,0.016963341,0.01957681,0.024948741
BLEU-2,0.012062283,0.007847979,0.011429514,0.006748261
BLEU-4,0.004067922,0.001648921,0.002576431,0.000353694
ROUGE-1,0.047832283,0.043774178,0.047488933,0.049209504
ROUGE-2,0.02134112,0.012829063,0.019566436,0.009135916
ROUGE-L,0.04039884,0.035369491,0.040382447,0.037663813
Reference Length (tokens),8.29,8.29,8.29,8.29
Prediction Length (tokens),236.24,257.17,227.51,247.49
Reference Length (chars),43.96,43.96,43.96,43.96
Prediction Length (chars),1509.49,1622.58,1443.98,1377.2
Contextual Relevance,0.751950009,0.718798755,0.7343695,0.57507096
Semantic Similarity,0.751950009,0.718798755,0.7343695,0.57507096
Distinct-1,0.699305906,0.678715275,0.692877974,0.663559579
Distinct-2,0.956599523,0.950062513,0.950884563,0.948587325
Response Time (s),11.050002,10.47670027,10.53152133,0.010966799
