Test #,Question,RAG BLEU-1,RAG BLEU-2,RAG BLEU-4,RAG ROUGE-1,RAG ROUGE-2,RAG ROUGE-L,RAG Reference Length (tokens),RAG Prediction Length (tokens),RAG Reference Length (chars),RAG Prediction Length (chars),RAG Contextual Relevance,RAG Semantic Similarity,RAG Distinct-1,RAG Distinct-2,RAG Response Time (s),Vanilla BLEU-1,Vanilla BLEU-2,Vanilla BLEU-4,Vanilla ROUGE-1,Vanilla ROUGE-2,Vanilla ROUGE-L,Vanilla Reference Length (tokens),Vanilla Prediction Length (tokens),Vanilla Reference Length (chars),Vanilla Prediction Length (chars),Vanilla Contextual Relevance,Vanilla Semantic Similarity,Vanilla Distinct-1,Vanilla Distinct-2,Vanilla Response Time (s),Hybrid BLEU-1,Hybrid BLEU-2,Hybrid BLEU-4,Hybrid ROUGE-1,Hybrid ROUGE-2,Hybrid ROUGE-L,Hybrid Reference Length (tokens),Hybrid Prediction Length (tokens),Hybrid Reference Length (chars),Hybrid Prediction Length (chars),Hybrid Contextual Relevance,Hybrid Semantic Similarity,Hybrid Distinct-1,Hybrid Distinct-2,Hybrid Response Time (s),RetrievalOnly BLEU-1,RetrievalOnly BLEU-2,RetrievalOnly BLEU-4,RetrievalOnly ROUGE-1,RetrievalOnly ROUGE-2,RetrievalOnly ROUGE-L,RetrievalOnly Reference Length (tokens),RetrievalOnly Prediction Length (tokens),RetrievalOnly Reference Length (chars),RetrievalOnly Prediction Length (chars),RetrievalOnly Contextual Relevance,RetrievalOnly Semantic Similarity,RetrievalOnly Distinct-1,RetrievalOnly Distinct-2,RetrievalOnly Response Time (s)
1,Why do I feel anxious even when nothing is wrong?,0.018987341772151903,0.013447372472027633,0.007788569860014899,0.04166666666666667,0.02097902097902098,0.034722222222222224,10,275,49,1809,0.7952066659927368,0.7952066659927368,0.6654545454543035,0.9418181818178394,18.994036436080933,0.018018018018018025,0.0,0.0,0.037383177570093455,0.0,0.028037383177570093,10,200,49,1269,0.6505164504051208,0.6505164504051208,0.67999999999966,0.9749999999995126,8.003779888153076,0.033018867924528295,0.021667085109123345,0.012093899305707085,0.06796116504854369,0.029411764705882356,0.058252427184466014,10,192,49,1137,0.7089391350746155,0.7089391350746155,0.7083333333329644,0.9635416666661649,8.378660440444946,0.009950248756218907,0.004978221250104404,0.0,0.021592442645074223,0.005412719891745603,0.016194331983805668,10,699,49,3730,0.624701738357544,0.624701738357544,0.4763948497853395,0.9027181688124603,0.013345003128051758
2,How can I stop overthinking every situation?,0.009230769230769235,0.0,0.0,0.02054794520547945,0.0,0.02054794520547945,7,281,44,1819,0.743540346622467,0.743540346622467,0.7046263345193222,0.9750889679711833,12.972859144210815,0.01145038167938931,0.0,0.0,0.02542372881355932,0.0,0.016949152542372878,7,224,44,1518,0.6153677105903625,0.6153677105903625,0.7589285714282327,0.9732142857138513,9.500578165054321,0.014705882352941173,0.0,0.0,0.031578947368421054,0.0,0.031578947368421054,7,178,44,1135,0.6804047226905823,0.6804047226905823,0.7471910112355353,0.9831460674151781,8.221888303756714,0.0026178010471204186,0.0,0.0,0.011928429423459244,0.0,0.011928429423459244,7,1078,44,4014,0.4778222441673279,0.4778222441673279,0.26716141001852806,0.42949907235617535,0.012904644012451172
3,What should I do when I feel sad for no reason?,0.02923976608187135,0.02271554252121273,0.013807659196348264,0.08284023668639053,0.03592814371257485,0.07100591715976332,11,154,47,895,0.759909987449646,0.759909987449646,0.6883116883112415,0.9610389610383371,7.222970247268677,0.015873015873015876,0.0,0.0,0.04225352112676056,0.0,0.02112676056338028,11,268,47,1626,0.6997434496879578,0.6997434496879578,0.6641791044773642,0.9664179104474007,10.541009664535522,0.023809523809523808,0.01848684666616339,0.011224848764989935,0.06217616580310881,0.031413612565445025,0.06217616580310881,11,180,47,1162,0.7648707032203674,0.7648707032203674,0.6833333333329538,0.9611111111105772,8.503419160842896,0.05925925925925926,0.021029343262550397,0.0,0.10218978102189781,0.014814814814814814,0.072992700729927,11,118,47,643,0.6172900199890137,0.6172900199890137,0.6949152542366992,0.949152542372077,0.012225866317749023
4,I often feel lonely even around people. Why?,0.03278688524590164,0.0,0.0,0.05524861878453038,0.011173184357541898,0.03314917127071823,8,167,44,1110,0.7173001766204834,0.7173001766204834,0.7185628742510668,0.9820359281431246,7.857704401016235,0.016194331983805668,0.0,0.0,0.03347280334728034,0.0,0.01673640167364017,8,221,44,1360,0.6499532461166382,0.6499532461166382,0.6968325791852051,0.9366515837099835,8.973036050796509,0.049382716049382706,0.024845199749997667,0.0,0.07142857142857142,0.024390243902439025,0.07142857142857142,8,75,44,500,0.7360845804214478,0.7360845804214478,0.8666666666655111,0.9733333333320355,5.036441802978516,0.031007751937984492,0.015564320159117262,0.0,0.04615384615384615,0.015625,0.04615384615384615,8,114,44,690,0.7202644944190979,0.7202644944190979,0.6578947368415281,0.964912280700908,0.012395381927490234
5,How do I deal with feelings of guilt I can't shake off?,0.014534883720930238,0.011275072632372663,0.0,0.0380952380952381,0.019169329073482427,0.031746031746031744,12,291,55,1934,0.7122344970703125,0.7122344970703125,0.704467353951648,0.9828178694154699,13.25701642036438,0.011467889908256883,0.008893193797450558,0.0,0.044226044226044224,0.014814814814814814,0.034398034398034405,12,382,55,2464,0.7660393118858337,0.7660393118858337,0.6178010471202572,0.9502617801044633,14.123328685760498,0.020231213872832374,0.0108296998694699,0.0,0.05642633228840126,0.012618296529968456,0.04388714733542319,12,302,55,1894,0.7681581377983093,0.7681581377983093,0.652317880794486,0.9370860927149215,13.086467027664185,0.032520325203252036,0.0,0.0,0.075,0.0,0.05,12,214,55,1329,0.5494332313537598,0.5494332313537598,0.6682242990651084,0.9719626168219758,0.009306907653808594
6,What are healthy ways to manage anger?,0.012048192771084333,0.0,0.0,0.036036036036036036,0.0,0.027027027027027025,7,215,38,1217,0.6338040828704834,0.6338040828704834,0.6744186046508491,0.9720930232553618,10.200708866119385,0.013636363636363634,0.011146718215816356,0.0,0.030150753768844223,0.020202020202020204,0.030150753768844223,7,380,38,2351,0.7869148254394531,0.7869148254394531,0.6394736842103581,0.9368421052629113,14.463090896606445,0.040816326530612235,0.035529714526700486,0.022937952462562982,0.10638297872340424,0.08695652173913045,0.10638297872340424,7,85,38,569,0.8457751870155334,0.8457751870155334,0.7999999999990588,0.9882352941164844,5.668596029281616,0.008146639511201625,0.0,0.0,0.02272727272727273,0.0,0.018181818181818184,7,425,38,2385,0.6322268843650818,0.6322268843650818,0.5882352941175086,0.952941176470364,0.013833761215209961
7,Why do I sometimes cry without knowing why?,0.03361344537815126,0.029233185248677684,0.0,0.08333333333333334,0.05084745762711865,0.08333333333333334,8,109,43,686,0.8436309695243835,0.8436309695243835,0.7798165137607524,0.9541284403660971,5.5290367603302,0.00716845878136201,0.0,0.0,0.022641509433962263,0.0,0.015094339622641511,8,246,43,1462,0.7083294987678528,0.7083294987678528,0.68699186991842,0.9674796747963548,9.777915477752686,0.040816326530612235,0.035529714526700486,0.022937952462562982,0.10204081632653061,0.06249999999999999,0.10204081632653061,8,88,43,558,0.7926344275474548,0.7926344275474548,0.7840909090900181,0.9659090909079933,5.089334964752197,0.037037037037037035,0.0,0.0,0.04819277108433735,0.0,0.024096385542168676,8,72,43,399,0.662472128868103,0.662472128868103,0.7916666666655671,0.9305555555542631,0.009557485580444336
8,How can I stop feeling emotionally numb?,0.019011406844106463,0.01475424903636824,0.008949784742036337,0.04201680672268907,0.02542372881355932,0.03361344537815126,7,226,40,1505,0.8270596861839294,0.8270596861839294,0.6902654867253584,0.9601769911500176,10.445760250091553,0.008771929824561401,0.0,0.0,0.03669724770642202,0.0,0.01834862385321101,7,201,40,1233,0.7824276089668274,0.7824276089668274,0.6517412935320142,0.910447761193577,8.519030094146729,0.006211180124223602,0.0,0.0,0.014051522248243561,0.0,0.009367681498829042,7,413,40,2711,0.7354674935340881,0.7354674935340881,0.6125907990313287,0.9176755447939667,15.829171180725098,0.028571428571428577,0.011692108443873358,0.0,0.049999999999999996,0.0101010101010101,0.04,7,182,40,1127,0.6277878880500793,0.6277878880500793,0.7252747252743268,0.9835164835159432,0.00802159309387207
9,What should I do when I feel overwhelmed with emotions?,0.01570680628272252,0.012858258162598328,0.0,0.05813953488372092,0.023529411764705882,0.046511627906976744,10,159,55,984,0.8411670923233032,0.8411670923233032,0.7421383647794075,0.9685534591188878,7.366864442825317,0.015503875968992251,0.0,0.0,0.05106382978723405,0.0,0.03404255319148936,10,220,55,1309,0.8279026746749878,0.8279026746749878,0.6499999999997046,0.9363636363632108,9.178244829177856,0.014814814814814814,0.0,0.0,0.05063291139240507,0.0,0.03375527426160338,10,219,55,1393,0.8298574686050415,0.8298574686050415,0.6849315068490024,0.9360730593603032,10.386636972427368,0.10714285714285714,0.0890870806374748,0.0,0.17647058823529413,0.125,0.17647058823529413,10,23,55,134,0.6962519288063049,0.6962519288063049,0.9999999999956523,0.956521739126276,0.012590885162353516
10,How do I handle intense mood swings?,0.015094339622641515,0.01069350540034858,0.0,0.03636363636363636,0.01834862385321101,0.027272727272727275,7,208,36,1310,0.7775484919548035,0.7775484919548035,0.7403846153842595,0.9615384615379993,10.634429216384888,0.011673151750972763,0.009549685756844287,0.0,0.0380952380952381,0.019230769230769232,0.0380952380952381,7,195,36,1270,0.7719937562942505,0.7719937562942505,0.7076923076919448,0.9333333333328547,9.021668195724487,0.013392857142857139,0.007749687435576682,0.0,0.028846153846153848,0.009708737864077669,0.028846153846153848,7,195,36,1231,0.7198807597160339,0.7198807597160339,0.7025641025637424,0.9589743589738673,9.733232975006104,0.017543859649122806,0.010143793054450196,0.0,0.030959752321981428,0.012461059190031152,0.02476780185758514,7,312,36,1785,0.6815361976623535,0.6815361976623535,0.5737179487177648,0.9391025641022631,0.008982181549072266
